titulo,tipo,precio,condicion,ubicacion,tiempo,reputacion,pago
"Asus Vivobook Intel Core I5, 8gb Ram, 1tb Hdd, Usb-c Liviana",Computadoras y Servidores,850,Nuevo  -  1 vendido,"Quito, Pichincha ( Quito )",14 Años,100% de compradores lo recomiendan,Efectivo
Control Remoto Proyectores Epson Nec,Computadoras y Servidores,45,Usado,"Quito, Pichincha ( Quito )",4 Años,100% de compradores lo recomiendan,Efectivo
Intel Nuc Procesador Dual Core Intel® I5 7ma Generació,Computadoras y Servidores,518,Nuevo,"Quito, Pichincha ( Quito )",11 Años,99% de compradores lo recomiendan,Tarjeta de Crédito
"Server Servidor Dell T130 Intel Xeon 16gb | 2 Discos 2tb, Hp",Computadoras y Servidores,1.645,Nuevo,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
Gateway Grandstream Gxw4108 8 Puertos,Computadoras y Servidores,150,Usado,"Guayaquil, Guayas",,,Efectivo
"Disco Duro Para Servidor Hp N° De Parte 658102 , Garantía",Computadoras y Servidores,200,Nuevo,"Guayaquil, Guayas",5 Años,,Efectivo
"Bateria Seca De 12v 9a, Recargable",Computadoras y Servidores,1,Nuevo,"Guayaquil, Guayas",1 Año,,Efectivo
Hp Laptop 15 Plg I3,Computadoras y Servidores,485,Nuevo,"Quito, Pichincha ( Quito )",8 Años,,
Servidor Intel Xeon 16gb 2tb Lenovo Ts150 Server Hp Dell,Computadoras y Servidores,1.387,Nuevo,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
Servidor Hp Proliant Ml30 Gen9 Intel Xeon 1tb Server Pc I7,Computadoras y Servidores,1.157,Nuevo  -  5 vendidos,"Guayaquil, Guayas",4 Años,97% de compradores lo recomiendan,Tarjeta de Crédito
Toshiba Core I7 3ra Generación Con Video Dedicado,Computadoras y Servidores,500,Usado,"Quito, Pichincha ( Quito )",7 Años,,Efectivo
